THIN INVESTIGATION ENTRIES AUDIT
================================

Summary: 0-item=26, 1-item=225, 2-item=0, 3-item=168, TOTAL=419


m.ts   | media-radicalization                                       | Media Radicalization
m.ts   | menendez-bribery                                           | Menendez Bribery
m.ts   | metoo-media                                                | Metoo Media
m.ts   | military-industrial-ai                                     | Military Industrial AI
m.ts   | military-industrial-complex                                | Military Industrial Complex
m.ts   | military-readiness                                         | Military Readiness
m.ts   | militia-movement                                           | Militia Movement
m.ts   | mississippi-welfare                                        | Mississippi Welfare
m.ts   | monsanto-crimes                                            | Monsanto Crimes
m.ts   | mortgage-fraud-crisis                                      | Mortgage Fraud Crisis
m.ts   | msu-coverup                                                | MSU Coverup
n.ts   | nbc-misconduct                                             | NBC Misconduct
n.ts   | nestle-human-rights                                        | Nestle Human Rights
n.ts   | news-of-the-world-hacking                                  | News Of The World Hacking
n.ts   | nxivm-cult                                                 | NXIVM Cult
n.ts   | nypd-chokehold                                             | NYPD Chokehold
n.ts   | nypd-racial-profiling                                      | NYPD Racial Profiling
o.ts   | oath-keepers                                               | Oath Keepers
o.ts   | obesity-epidemic                                           | Obesity Epidemic
o.ts   | okc-bombing                                                | OKC Bombing
p.ts   | penn-state-scandal                                         | Penn State Scandal
p.ts   | penny-stock-fraud                                          | Penny Stock Fraud
p.ts   | petters-ponzi                                              | Petters Ponzi
p.ts   | pfas-contamination                                         | PFAS Contamination
p.ts   | pharmaceutical-fraud                                       | Pharmaceutical Fraud
p.ts   | philando-castile                                           | Philando Castile
p.ts   | plastic-pollution-crisis                                   | Plastic Pollution Crisis
p.ts   | platform-discrimination                                    | Platform Discrimination
p.ts   | platform-extremism                                         | Platform Extremism
p.ts   | polarization                                               | Polarization
p.ts   | political-corruption                                       | Political Corruption
p.ts   | political-dark-money                                       | Political Dark Money
p.ts   | political-fraud                                            | Political Fraud
p.ts   | political-hoaxes                                           | Political Hoaxes
p.ts   | political-hypocrisy                                        | Political Hypocrisy
p.ts   | political-opportunism                                      | Political Opportunism
p.ts   | post-911-persecution                                       | Post 9/11 Persecution
p.ts   | predatory-lending                                          | Predatory Lending
p.ts   | press-freedom                                              | Press Freedom
p.ts   | press-freedom-violations                                   | Press Freedom Violations
p.ts   | prison-industrial-complex                                  | Prison Industrial Complex
p.ts   | private-equity-abuses                                      | Private Equity Abuses
p.ts   | private-equity-housing                                     | Private Equity Housing
p.ts   | private-prison-corruption                                  | Private Prison Corruption
p.ts   | prosecutorial-misconduct                                   | Prosecutorial Misconduct
p.ts   | protest-violence                                           | Protest Violence
p.ts   | public-health-threats                                      | Public Health Threats
p.ts   | pulse-shooting                                             | Pulse Shooting
p.ts   | purdue-pharma                                              | Purdue Pharma
r.ts   | rabaa-massacre                                             | Rabaa Massacre
r.ts   | radicalization                                             | Radicalization
r.ts   | religious-abuse                                            | Religious Abuse
r.ts   | religious-right-legal                                      | Religious Right Legal
r.ts   | restitution-evasion                                        | Restitution Evasion
r.ts   | right-wing-disinfo                                         | Right Wing Disinfo
r.ts   | right-wing-media                                           | Right Wing Media
r.ts   | rothstein-ponzi                                            | Rothstein Ponzi
r.ts   | roundup-cancer                                             | Roundup Cancer
r.ts   | russia-investigation                                       | Russia Investigation Overview
r.ts   | russia-ukraine-war                                         | Russia Ukraine War
r.ts   | russian-influence                                          | Russian Influence
r.ts   | russian-war-crimes                                         | Russian War Crimes
r.ts   | ryanair-hijacking                                          | Ryanair Hijacking
s.ts   | sac-capital                                                | SAC Capital
s.ts   | sackler-family                                             | Sackler Family
s.ts   | sandy-hook-disinfo                                         | Sandy Hook Disinfo
s.ts   | santos-fraud                                               | Santos Fraud
s.ts   | saudi-arms-sales                                           | Saudi Arms Sales
s.ts   | school-shootings                                           | School Shootings
s.ts   | scientology-abuses                                         | Scientology Abuses
s.ts   | sec-failures                                               | SEC Failures
s.ts   | serial-killings                                            | Serial Killings
s.ts   | sex-trafficking                                            | Sex Trafficking
s.ts   | sexual-exploitation                                        | Sexual Exploitation
s.ts   | sexual-harassment                                          | Sexual Harassment
s.ts   | silicon-valley-politics                                    | Silicon Valley Politics
s.ts   | social-engineering-fraud                                   | Social Engineering Fraud
s.ts   | spac-fraud                                                 | SPAC Fraud
s.ts   | spacey-assault                                             | Spacey Assault
s.ts   | stand-your-ground                                          | Stand Your Ground
s.ts   | stanford-ponzi                                             | Stanford Ponzi
s.ts   | starbucks-union-busting                                    | Starbucks Union Busting
s.ts   | startup-fraud                                              | Startup Fraud
s.ts   | surveillance-capitalism                                    | Surveillance Capitalism
s.ts   | sutherland-springs-shooting                                | Sutherland Springs Shooting
t.ts   | tamir-rice-shooting                                        | Tamir Rice Shooting
t.ts   | tech-billionaire-influence                                 | Tech Billionaire Influence
t.ts   | tech-industry-sexism                                       | Tech Industry Sexism
t.ts   | tech-labor-exploitation                                    | Tech Labor Exploitation
t.ts   | tech-monopolies                                            | Tech Monopolies
t.ts   | tech-oligarchy                                             | Tech Oligarchy
t.ts   | teen-nicotine-addiction                                    | Teen Nicotine Addiction
t.ts   | telecom-privacy                                            | Telecom Privacy
t.ts   | terra-luna-collapse                                        | Terra Luna Collapse
t.ts   | texas-border-cruelty                                       | Texas Border Cruelty
t.ts   | texas-grid-failures                                        | Texas Grid Failures
t.ts   | three-arrows-capital                                       | Three Arrows Capital
t.ts   | trail-of-tears                                             | Trail Of Tears
t.ts   | trayvon-martin                                             | Trayvon Martin
t.ts   | tree-of-life-massacre                                      | Tree Of Life Massacre
t.ts   | trump-admin-2                                              | Trump Admin 2
t.ts   | trump-admin-corruption                                     | Trump Admin Corruption
t.ts   | trump-administration                                       | Trump Administration
t.ts   | trump-corruption                                           | Trump Corruption
t.ts   | trump-impeachment                                          | Trump Impeachment
t.ts   | trump-russia                                               | Trump-Russia Investigation
t.ts   | trump-tax-cuts                                             | Trump Tax Cuts
t.ts   | turkey-authoritarianism                                    | Turkey Authoritarianism
t.ts   | tyco-scandal                                               | Tyco Scandal
t.ts   | tyre-nichols                                               | Tyre Nichols
t.ts   | tyre-nichols-murder                                        | Tyre Nichols Murder
u.ts   | uber-scandals                                              | Uber Scandals
u.ts   | ukraine-policy                                             | Ukraine Policy
u.ts   | ukraine-war                                                | Ukraine War
u.ts   | ukraine-war-crimes                                         | Ukraine War Crimes
u.ts   | usa-gymnastics-abuse                                       | Usa Gymnastics Abuse
u.ts   | uvalde-shooting                                            | Uvalde Shooting
u.ts   | uyghur-genocide                                            | Uyghur Genocide
v.ts   | venezuela-election                                         | Venezuela Election
v.ts   | venezuela-human-rights                                     | Venezuela Human Rights
v.ts   | vs-pipeline                                                | VS Pipeline
w.ts   | wagner-crimes                                              | Wagner Crimes
w.ts   | wall-street-accountability                                 | Wall Street Accountability
w.ts   | wall-street-manipulation                                   | Wall Street Manipulation
w.ts   | walmart-labor                                              | Walmart Labor
w.ts   | walter-scott-murder                                        | Walter Scott Murder
w.ts   | war-on-terror-abuses                                       | War On Terror Abuses
